Symbol,Name,,,CASH_RATIO,CASH_RATIO,True Cash Ratio,RETURN_COM_EQY,PX_TO_BOOK_RATIO,PE_RATIO,SHORT_INT_RATIO,TOT_DEBT_TO_COM_EQY,IS_EPS,Last price,,
ADT,ADT Inc.,ADT US Equity,ADT UA Equity,0.0796,0.0796,0.0796,9.467334467,2.72482013,33.7049,10.547,217.726,#N/A N/A,8.905,#N/A Limit: Monthly,
ATGE,Adtalem Global Education Inc.,ATGE US Equity,ATGE UA Equity,0.6519,0.6519,0.6519,0.860483887,1.807249847,15.4376,10.076,7.7008,0.64,47.4,27/06/2017 17:00,45.15
AAP,Advance Auto Parts Inc,AAP US Equity,AAP UA Equity,0.6168,0.6168,0.6168,15.35005424,2.83900553,19.6349,3.624,29.4578,1.85,136.606,27/06/2017 17:00,103.03
ADSW,"Advanced Disposal Services, Inc.",ADSW US Equity,ADSW UA Equity,0.7294,0.7294,0.7294,5.502989493,2.411083253,90.4029,1.458,215.4388,0.02,25.37,27/06/2017 17:00,23.31
WMS,"Advanced Drainage Systems, Inc.",WMS US Equity,WMS UA Equity,0.7119,0.7119,0.7119,76.81781348,13.73087983,35.8453,6.958,323.3624,-0.11,29.05,27/06/2017 17:00,22.6
ASIX,AdvanSix Inc.,ASIX US Equity,ASIX UA Equity,0.0381,0.0381,0.0381,41.3137885,2.930791943,10.9684,3.334,59.0004,0.38,38.4,27/06/2017 17:00,40.64
AAV,Advantage Oil & Gas Ltd,AAV US Equity,AAV UA Equity,0.0494,0.0494,0.0494,4.883025328,null,null,10.081,17.9368,#N/A N/A,3.225,27/06/2017 17:00,4.05
AVK,Advent Claymore Convertible Securities and Income Fund,AVK US Equity,AVK UA Equity,0.0932,0.0932,0.0932,null,null,null,0.376,#N/A N/A,#N/A N/A,15.322,27/06/2017 17:00,15.83
AGC,Advent Claymore Convertible Securities and Income Fund II,AGC US Equity,AGC UA Equity,0.0795,0.0795,0.0795,null,null,null,0.359,#N/A N/A,#N/A N/A,5.61,27/06/2017 17:00,5.99
LCM,Advent/Claymore Enhanced Growth & Income Fund,LCM US Equity,LCM UA Equity,#VALUE!,#VALUE!,null,null,null,null,0.12,#N/A N/A,#N/A N/A,7.79,27/06/2017 17:00,8.32
ACM,AECOM,ACM US Equity,ACM UA Equity,0.1433,0.1433,0.1433,4.782928314,1.289196675,15.1702,5.091,97.7223,-0.75,33.66,27/06/2017 17:00,38.82
